date,time,open,high,low,close,expiry_date,open_interest_call,volume_call,close_call,low_call,high_call,open_call,strike_price,open_put,high_put,low_put,close_put,volume_put,open_interest_put
2020-01-06,09:15:00,12169.5,12179.1,12145.8,12145.8,09-JAN-2020,143100,66826,62.8,61.2,77.25,75.0,12150,74.25,74.25,45.0,66.1,248553,715500
2020-01-06,09:15:00,12169.5,12179.1,12145.8,12145.8,09-JAN-2020,128325,79203,94.5,92.9,118.15,118.15,12100,37.95,47.65,33.15,47.65,425628,1427775
2020-01-06,09:15:00,12169.5,12179.1,12145.8,12145.8,09-JAN-2020,7275,2701,129.5,128.75,141.0,141.0,12050,23.25,33.0,21.65,32.8,125402,398025
2020-01-06,09:15:00,12169.5,12179.1,12145.8,12145.8,09-JAN-2020,172725,18751,170.5,169.75,190.15,189.8,12000,14.3,23.8,14.3,23.8,252077,1537200
2020-01-06,09:16:00,12145.2,12145.2,12130.1,12134.1,09-JAN-2020,143100,117300,55.4,54.25,62.9,62.9,12150,66.05,71.1,66.05,69.7,242550,715500
2020-01-06,09:16:00,12145.2,12145.2,12130.1,12134.1,09-JAN-2020,128325,141000,85.0,83.3,94.3,94.3,12100,47.7,51.3,47.4,49.45,431250,1427775
2020-01-06,09:16:00,12145.2,12145.2,12130.1,12134.1,09-JAN-2020,7275,5325,120.05,120.05,128.65,128.65,12050,33.15,36.7,32.85,35.55,114750,398025
2020-01-06,09:16:00,12145.2,12145.2,12130.1,12134.1,09-JAN-2020,172725,8925,162.45,160.65,170.7,170.7,12000,24.3,28.0,23.95,27.05,216675,1537200
2020-01-06,09:17:00,12134.65,12139.2,12134.1,12137.75,09-JAN-2020,221250,119625,56.8,55.9,58.45,55.9,12150,69.7,69.7,64.15,65.75,223800,734925
2020-01-06,09:17:00,12134.65,12139.2,12134.1,12137.75,09-JAN-2020,244125,186825,87.0,85.5,88.8,85.5,12100,49.25,49.25,45.45,46.05,384375,1466550
2020-01-06,09:17:00,12134.65,12139.2,12134.1,12137.75,09-JAN-2020,11850,3825,124.2,121.95,125.0,121.95,12050,35.55,35.55,32.05,32.3,74325,423525
2020-01-06,09:17:00,12134.65,12139.2,12134.1,12137.75,09-JAN-2020,180975,15600,165.0,163.1,168.35,163.1,12000,27.0,27.0,23.8,24.1,265125,1607475
2020-01-06,09:18:00,12139.05,12146.3,12138.05,12145.95,09-JAN-2020,221250,114525,58.5,55.8,59.35,56.6,12150,66.0,66.6,62.75,63.5,168450,734925
2020-01-06,09:18:00,12139.05,12146.3,12138.05,12145.95,09-JAN-2020,244125,106050,89.8,85.85,89.95,87.0,12100,46.35,47.0,43.75,44.45,377475,1466550
2020-01-06,09:18:00,12139.05,12146.3,12138.05,12145.95,09-JAN-2020,11850,1725,126.5,121.9,126.5,122.2,12050,32.7,32.95,30.2,30.9,93450,423525
2020-01-06,09:18:00,12139.05,12146.3,12138.05,12145.95,09-JAN-2020,180975,6450,168.0,163.3,168.85,165.0,12000,24.3,24.3,21.95,22.4,165300,1607475
2020-01-06,09:19:00,12144.8,12146.2,12139.8,12140.5,09-JAN-2020,221250,95100,56.9,56.1,58.9,58.9,12150,63.0,67.0,63.0,66.25,135900,734925
2020-01-06,09:19:00,12144.8,12146.2,12139.8,12140.5,09-JAN-2020,244125,59700,86.7,85.85,89.65,89.65,12100,44.4,47.4,44.2,46.65,214425,1466550
2020-01-06,09:19:00,12144.8,12146.2,12139.8,12140.5,09-JAN-2020,11850,675,123.35,123.35,125.65,125.65,12050,30.8,33.25,30.75,32.8,57450,423525
2020-01-06,09:19:00,12144.8,12146.2,12139.8,12140.5,09-JAN-2020,180975,4800,164.35,164.0,168.1,167.55,12000,22.25,24.1,22.2,23.85,107850,1607475
2020-01-06,09:20:00,12140.85,12140.85,12132.2,12133.4,09-JAN-2020,366075,98250,53.4,52.35,56.45,56.45,12150,66.7,73.0,66.65,72.1,158925,767025
2020-01-06,09:20:00,12140.85,12140.85,12132.2,12133.4,09-JAN-2020,355425,64950,82.35,80.65,86.35,86.35,12100,46.95,51.85,46.95,51.3,259275,1602300
2020-01-06,09:20:00,12140.85,12140.85,12132.2,12133.4,09-JAN-2020,13500,4125,115.9,115.15,122.0,122.0,12050,32.75,36.2,32.75,35.8,77775,444525
2020-01-06,09:20:00,12140.85,12140.85,12132.2,12133.4,09-JAN-2020,186000,5550,156.95,155.85,163.75,163.75,12000,23.85,26.05,23.85,25.95,161475,1584600
2020-01-06,09:21:00,12132.85,12133.35,12123.4,12123.6,09-JAN-2020,366075,122325,50.2,50.2,53.55,53.35,12150,71.45,78.0,71.45,78.0,164775,767025
2020-01-06,09:21:00,12132.85,12133.35,12123.4,12123.6,09-JAN-2020,355425,73800,77.65,77.65,82.5,82.15,12100,51.25,55.8,50.95,55.8,258000,1602300
2020-01-06,09:21:00,12132.85,12133.35,12123.4,12123.6,09-JAN-2020,13500,2625,111.3,111.3,116.4,114.1,12050,35.6,39.2,35.6,39.1,79050,444525
2020-01-06,09:21:00,12132.85,12133.35,12123.4,12123.6,09-JAN-2020,186000,7275,150.85,150.85,157.05,157.05,12000,25.7,28.4,25.7,28.4,147450,1584600
2020-01-06,09:22:00,12122.8,12123.0,12118.2,12118.7,09-JAN-2020,366075,130500,50.25,47.4,50.8,49.95,12150,78.0,81.55,78.0,80.75,125250,767025
2020-01-06,09:22:00,12122.8,12123.0,12118.2,12118.7,09-JAN-2020,355425,110475,76.8,72.0,78.15,77.1,12100,55.9,58.65,55.9,58.25,320100,1602300
2020-01-06,09:22:00,12122.8,12123.0,12118.2,12118.7,09-JAN-2020,13500,5250,110.8,106.35,111.5,109.85,12050,39.4,41.8,39.3,41.8,161625,444525
2020-01-06,09:22:00,12122.8,12123.0,12118.2,12118.7,09-JAN-2020,186000,12675,149.1,144.65,150.45,150.0,12000,28.5,30.4,28.5,30.4,201450,1584600
2020-01-06,09:23:00,12117.25,12118.05,12112.2,12114.1,09-JAN-2020,492750,115200,47.3,47.3,50.0,50.0,12150,81.25,87.0,81.25,87.0,140775,778200
2020-01-06,09:23:00,12117.25,12118.05,12112.2,12114.1,09-JAN-2020,408300,76650,73.8,73.25,77.0,76.6,12100,58.85,63.8,58.85,63.8,256575,1588350
2020-01-06,09:23:00,12117.25,12118.05,12112.2,12114.1,09-JAN-2020,18150,5175,106.0,106.0,109.2,109.2,12050,42.05,45.5,42.05,45.5,97200,477225
2020-01-06,09:23:00,12117.25,12118.05,12112.2,12114.1,09-JAN-2020,191925,13275,143.35,143.35,148.95,148.65,12000,30.8,33.15,30.55,33.15,158400,1641450
2020-01-06,09:24:00,12112.9,12120.15,12111.25,12118.1,09-JAN-2020,492750,188250,47.7,46.7,49.4,47.55,12150,87.3,88.7,80.95,83.45,153300,778200
2020-01-06,09:24:00,12112.9,12120.15,12111.25,12118.1,09-JAN-2020,408300,159000,74.65,72.5,76.65,73.5,12100,63.8,64.95,58.6,60.65,368475,1588350
2020-01-06,09:24:00,12112.9,12120.15,12111.25,12118.1,09-JAN-2020,18150,6375,107.75,104.75,109.85,104.75,12050,45.65,46.45,41.8,43.5,101850,477225
2020-01-06,09:24:00,12112.9,12120.15,12111.25,12118.1,09-JAN-2020,191925,15150,145.8,141.95,148.7,143.4,12000,33.25,33.95,30.55,31.9,220125,1641450
