date,time,open,high,low,close,expiry_date,open_interest_call,volume_call,close_call,low_call,high_call,open_call,strike_price,open_put,high_put,low_put,close_put,volume_put,open_interest_put
2020-01-02,09:15:00,12197.3,12216.1,12195.25,12215.05,02-JAN-2020,2750550,710703,29.15,16.95,29.7,28.0,12200,20.05,22.5,14.25,15.3,580577,1871250
2020-01-02,09:15:00,12197.3,12216.1,12195.25,12215.05,02-JAN-2020,2685225,617853,8.1,4.4,8.1,4.95,12250,58.0,58.0,43.05,44.2,120227,596325
2020-01-02,09:15:00,12197.3,12216.1,12195.25,12215.05,02-JAN-2020,3480900,954978,1.85,0.9,1.9,1.35,12300,101.0,104.55,87.65,87.65,40501,468075
2020-01-02,09:16:00,12215.35,12215.35,12207.7,12209.75,02-JAN-2020,2750550,651225,26.2,25.5,29.8,29.8,12200,15.05,16.95,15.0,16.8,526050,1871250
2020-01-02,09:16:00,12215.35,12215.35,12207.7,12209.75,02-JAN-2020,2685225,489150,6.6,6.5,8.15,8.15,12250,43.95,47.55,43.95,47.4,112725,596325
2020-01-02,09:16:00,12215.35,12215.35,12207.7,12209.75,02-JAN-2020,3480900,761025,1.35,1.35,2.0,2.0,12300,87.95,92.4,87.85,92.4,46425,468075
2020-01-02,09:17:00,12210.15,12215.2,12209.8,12214.45,02-JAN-2020,2719050,469275,28.75,26.05,28.8,26.05,12200,16.75,17.0,15.5,15.7,419850,2275950
2020-01-02,09:17:00,12210.15,12215.2,12209.8,12214.45,02-JAN-2020,2854650,360900,7.65,6.6,7.7,6.65,12250,47.2,47.9,44.5,45.0,77175,624450
2020-01-02,09:17:00,12210.15,12215.2,12209.8,12214.45,02-JAN-2020,3794850,586650,1.55,1.4,1.6,1.45,12300,92.0,92.55,88.55,88.55,34950,484950
2020-01-02,09:18:00,12214.1,12214.1,12210.3,12211.1,02-JAN-2020,2719050,327975,26.75,26.0,28.85,28.75,12200,15.8,16.7,15.6,15.65,374775,2275950
2020-01-02,09:18:00,12214.1,12214.1,12210.3,12211.1,02-JAN-2020,2854650,312675,6.5,6.3,7.75,7.75,12250,45.0,47.0,44.85,45.45,58575,624450
2020-01-02,09:18:00,12214.1,12214.1,12210.3,12211.1,02-JAN-2020,3794850,451425,1.15,1.15,1.6,1.6,12300,88.6,92.0,88.6,90.45,28575,484950
2020-01-02,09:19:00,12212.15,12217.2,12211.6,12217.2,02-JAN-2020,2719050,347475,29.3,26.85,29.3,26.85,12200,15.65,15.9,13.85,13.85,516825,2275950
2020-01-02,09:19:00,12212.15,12217.2,12211.6,12217.2,02-JAN-2020,2854650,308400,7.0,6.5,7.0,6.6,12250,45.25,45.25,41.5,41.5,76500,624450
2020-01-02,09:19:00,12212.15,12217.2,12211.6,12217.2,02-JAN-2020,3794850,462000,1.2,1.1,1.3,1.15,12300,90.0,90.0,85.8,85.8,34200,484950
2020-01-02,09:20:00,12218.15,12220.7,12216.65,12217.4,02-JAN-2020,2673975,623625,29.8,28.95,32.0,30.0,12200,13.0,13.5,12.3,13.05,618900,2684250
2020-01-02,09:20:00,12218.15,12220.7,12216.65,12217.4,02-JAN-2020,3042375,441450,7.15,6.8,7.95,7.3,12250,41.5,41.5,38.25,40.4,151725,681225
2020-01-02,09:20:00,12218.15,12220.7,12216.65,12217.4,02-JAN-2020,4127700,602625,1.25,1.2,1.4,1.25,12300,84.0,85.65,81.95,84.6,106350,508200
2020-01-02,09:21:00,12217.9,12220.8,12217.1,12220.1,02-JAN-2020,2673975,340875,30.95,28.55,30.95,29.35,12200,13.15,13.7,12.75,13.15,497100,2684250
2020-01-02,09:21:00,12217.9,12220.8,12217.1,12220.1,02-JAN-2020,3042375,340950,7.6,6.7,7.6,6.95,12250,40.65,41.5,39.4,39.8,109950,681225
2020-01-02,09:21:00,12217.9,12220.8,12217.1,12220.1,02-JAN-2020,4127700,471525,1.35,1.15,1.35,1.25,12300,84.8,85.8,83.1,83.5,54750,508200
2020-01-02,09:22:00,12219.8,12220.3,12217.3,12217.65,02-JAN-2020,2673975,328275,30.1,29.4,31.65,30.95,12200,13.15,13.85,12.6,13.15,430575,2684250
2020-01-02,09:22:00,12219.8,12220.3,12217.3,12217.65,02-JAN-2020,3042375,382650,7.45,7.0,7.85,7.7,12250,39.75,41.35,38.8,40.05,116850,681225
2020-01-02,09:22:00,12219.8,12220.3,12217.3,12217.65,02-JAN-2020,4127700,415650,1.3,1.2,1.4,1.35,12300,83.8,85.4,82.2,83.65,20400,508200
2020-01-02,09:23:00,12217.95,12220.55,12217.7,12218.8,02-JAN-2020,2690775,266325,30.35,29.55,31.25,30.1,12200,13.3,13.4,12.65,12.8,335475,2973900
2020-01-02,09:23:00,12217.95,12220.55,12217.7,12218.8,02-JAN-2020,3159525,265125,7.5,7.1,7.7,7.4,12250,40.55,41.0,38.8,39.8,78075,730650
2020-01-02,09:23:00,12217.95,12220.55,12217.7,12218.8,02-JAN-2020,4281450,240525,1.4,1.25,1.4,1.3,12300,84.3,85.05,82.65,83.6,23175,550950
2020-01-02,09:24:00,12219.15,12219.8,12217.2,12218.2,02-JAN-2020,2690775,201150,29.35,29.0,30.55,30.1,12200,12.9,13.35,12.6,13.1,257625,2973900
2020-01-02,09:24:00,12219.15,12219.8,12217.2,12218.2,02-JAN-2020,3159525,289950,6.85,6.8,7.65,7.35,12250,40.25,41.0,39.65,40.55,74025,730650
2020-01-02,09:24:00,12219.15,12219.8,12217.2,12218.2,02-JAN-2020,4281450,293775,1.25,1.25,1.4,1.35,12300,83.75,85.4,83.4,85.15,20400,550950
2020-01-02,09:25:00,12217.9,12222.25,12217.35,12222.25,02-JAN-2020,2690775,469800,32.6,29.2,32.6,29.2,12200,13.05,13.15,11.8,11.8,459600,2973900
2020-01-02,09:25:00,12217.9,12222.25,12217.35,12222.25,02-JAN-2020,3159525,336975,8.15,6.85,8.15,6.95,12250,40.55,40.55,37.25,37.25,129900,730650
2020-01-02,09:25:00,12217.9,12222.25,12217.35,12222.25,02-JAN-2020,4281450,394500,1.45,1.25,1.45,1.25,12300,84.75,84.75,80.55,80.55,48600,550950
2020-01-02,09:26:00,12222.5,12225.2,12221.5,12225.2,02-JAN-2020,2708625,558525,34.7,31.95,35.0,32.65,12200,11.8,12.15,11.1,11.3,470550,3243900
2020-01-02,09:26:00,12222.5,12225.2,12221.5,12225.2,02-JAN-2020,3223950,582825,9.15,7.95,9.3,8.1,12250,37.45,38.0,35.15,36.0,179475,785475
2020-01-02,09:26:00,12222.5,12225.2,12221.5,12225.2,02-JAN-2020,4401675,460875,1.45,1.35,1.45,1.4,12300,80.85,81.6,77.6,78.45,70425,576300
2020-01-02,09:27:00,12224.9,12226.45,12223.1,12224.5,02-JAN-2020,2708625,366825,33.85,33.4,35.35,34.65,12200,11.5,11.9,11.4,11.65,399075,3243900
2020-01-02,09:27:00,12224.9,12226.45,12223.1,12224.5,02-JAN-2020,3223950,376500,8.65,8.55,9.5,9.05,12250,35.95,36.85,35.75,36.4,113475,785475
2020-01-02,09:27:00,12224.9,12226.45,12223.1,12224.5,02-JAN-2020,4401675,369525,1.35,1.3,1.45,1.4,12300,78.5,79.8,78.0,79.0,53025,576300
2020-01-02,09:28:00,12225.1,12226.9,12223.85,12224.9,02-JAN-2020,2708625,230850,33.65,33.15,34.3,33.85,12200,11.7,11.75,11.25,11.3,366300,3243900
