date,time,open,high,low,close,expiry_date,open_interest_call,volume_call,close_call,low_call,high_call,open_call,strike_price,open_put,high_put,low_put,close_put,volume_put,open_interest_put
2020-01-07,09:15:00,12073.0,12112.6,12073.0,12112.6,09-JAN-2020,2076225,1098303,60.8,38.0,61.3,45.0,12100,60.05,67.9,50.65,52.1,373278,763500
2020-01-07,09:15:00,12073.0,12112.6,12073.0,12112.6,09-JAN-2020,1446750,385503,37.8,21.35,38.0,25.65,12150,81.0,108.3,77.7,79.4,31503,375825
2020-01-07,09:15:00,12073.0,12112.6,12073.0,12112.6,09-JAN-2020,1373775,398628,128.7,93.5,128.7,108.0,12000,47.95,47.95,18.45,19.25,491178,1987500
2020-01-07,09:16:00,12111.05,12121.95,12107.75,12121.2,09-JAN-2020,996900,236925,96.3,90.7,96.75,90.7,12050,61.4,61.45,26.9,27.0,251928,452700
2020-01-07,09:16:00,12111.05,12121.95,12107.75,12121.2,09-JAN-2020,2076225,665925,64.3,60.55,65.0,60.65,12100,52.35,53.1,45.0,46.0,413475,763500
2020-01-07,09:16:00,12111.05,12121.95,12107.75,12121.2,09-JAN-2020,1446750,323850,40.75,37.5,41.0,37.6,12150,79.1,79.75,71.45,71.45,34950,375825
2020-01-07,09:16:00,12111.05,12121.95,12107.75,12121.2,09-JAN-2020,1373775,265725,134.1,127.7,135.0,128.0,12000,19.1,19.9,16.05,16.2,461175,1987500
2020-01-07,09:17:00,12121.4,12125.35,12119.55,12124.0,09-JAN-2020,774600,150225,94.35,94.35,100.05,96.05,12050,26.65,26.65,22.9,24.6,252525,553875
2020-01-07,09:17:00,12121.4,12125.35,12119.55,12124.0,09-JAN-2020,1984800,667275,62.9,62.6,67.7,64.6,12100,45.5,45.5,40.2,43.1,534000,956325
2020-01-07,09:17:00,12121.4,12125.35,12119.55,12124.0,09-JAN-2020,1462125,427350,38.65,38.55,42.55,40.6,12150,71.25,71.25,64.85,69.0,97125,395100
2020-01-07,09:17:00,12121.4,12125.35,12119.55,12124.0,09-JAN-2020,1216125,244275,134.0,133.75,140.9,135.0,12000,16.0,16.0,13.55,14.3,402600,2043300
2020-01-07,09:18:00,12123.2,12129.0,12118.6,12121.25,09-JAN-2020,774600,79875,91.0,91.0,98.65,95.75,12050,24.35,25.5,23.25,25.4,219600,553875
2020-01-07,09:18:00,12123.2,12129.0,12118.6,12121.25,09-JAN-2020,1984800,453900,60.7,60.7,66.25,63.15,12100,42.7,44.9,40.8,44.7,449700,956325
2020-01-07,09:18:00,12123.2,12129.0,12118.6,12121.25,09-JAN-2020,1462125,277200,37.55,37.4,41.95,39.35,12150,68.7,71.0,66.0,70.75,48075,395100
2020-01-07,09:18:00,12123.2,12129.0,12118.6,12121.25,09-JAN-2020,1216125,111000,130.25,130.25,138.75,134.1,12000,14.35,14.65,13.45,14.6,316725,2043300
2020-01-07,09:19:00,12121.0,12124.7,12119.3,12122.05,09-JAN-2020,774600,56850,94.35,91.75,95.0,91.75,12050,25.3,25.3,23.85,24.45,167100,553875
2020-01-07,09:19:00,12121.0,12124.7,12119.3,12122.05,09-JAN-2020,1984800,303000,63.35,60.95,63.65,60.95,12100,44.65,44.65,42.3,43.6,266850,956325
2020-01-07,09:19:00,12121.0,12124.7,12119.3,12122.05,09-JAN-2020,1462125,191100,39.75,37.7,39.8,37.7,12150,70.7,70.85,68.05,69.5,52575,395100
2020-01-07,09:19:00,12121.0,12124.7,12119.3,12122.05,09-JAN-2020,1216125,79500,133.65,130.05,135.05,130.05,12000,14.65,14.65,13.8,14.0,323250,2043300
2020-01-07,09:20:00,12122.85,12130.0,12122.85,12130.0,09-JAN-2020,715350,81150,99.45,94.9,99.55,94.9,12050,24.25,24.3,21.15,21.5,189450,774600
2020-01-07,09:20:00,12122.85,12130.0,12122.85,12130.0,09-JAN-2020,1897050,397425,67.0,63.35,67.0,63.35,12100,43.1,43.1,38.5,38.95,402750,1232400
2020-01-07,09:20:00,12122.85,12130.0,12122.85,12130.0,09-JAN-2020,1476600,233925,41.8,39.85,41.9,39.85,12150,69.3,69.3,63.4,63.8,69375,455100
2020-01-07,09:20:00,12122.85,12130.0,12122.85,12130.0,09-JAN-2020,1074825,95025,140.0,133.7,140.0,133.7,12000,13.85,13.85,12.1,12.15,290625,2105025
2020-01-07,09:21:00,12128.35,12130.3,12124.65,12130.3,09-JAN-2020,715350,84225,99.6,95.7,99.6,98.9,12050,21.25,22.3,20.75,21.1,202650,774600
2020-01-07,09:21:00,12128.35,12130.3,12124.65,12130.3,09-JAN-2020,1897050,346725,66.3,63.85,66.45,66.4,12100,38.85,40.3,38.15,38.15,304875,1232400
2020-01-07,09:21:00,12128.35,12130.3,12124.65,12130.3,09-JAN-2020,1476600,294525,42.15,40.0,42.15,41.65,12150,63.85,65.9,63.0,63.6,67425,455100
2020-01-07,09:21:00,12128.35,12130.3,12124.65,12130.3,09-JAN-2020,1074825,80250,139.45,136.0,139.55,139.5,12000,12.15,12.5,11.6,11.75,259125,2105025
2020-01-07,09:22:00,12129.95,12135.85,12129.3,12134.85,09-JAN-2020,715350,159600,102.8,98.95,103.55,98.95,12050,21.05,21.05,19.15,20.35,223725,774600
2020-01-07,09:22:00,12129.95,12135.85,12129.3,12134.85,09-JAN-2020,1897050,411900,69.25,66.4,69.7,66.4,12100,38.05,38.05,35.4,37.0,370050,1232400
2020-01-07,09:22:00,12129.95,12135.85,12129.3,12134.85,09-JAN-2020,1476600,278325,43.8,42.05,44.2,42.05,12150,63.5,63.5,59.35,61.3,120375,455100
2020-01-07,09:22:00,12129.95,12135.85,12129.3,12134.85,09-JAN-2020,1074825,132975,143.95,139.55,144.5,139.55,12000,11.75,11.75,10.55,11.35,243075,2105025
2020-01-07,09:23:00,12134.4,12138.6,12133.2,12138.6,09-JAN-2020,662700,46350,103.0,100.9,103.4,102.55,12050,20.45,21.0,20.15,20.15,117225,952350
2020-01-07,09:23:00,12134.4,12138.6,12133.2,12138.6,09-JAN-2020,1847625,300075,69.65,67.55,70.0,68.9,12100,37.2,37.95,36.75,36.75,270075,1490325
2020-01-07,09:23:00,12134.4,12138.6,12133.2,12138.6,09-JAN-2020,1508025,188625,44.0,42.55,44.0,43.65,12150,61.5,62.45,60.85,60.95,67200,500550
2020-01-07,09:23:00,12134.4,12138.6,12133.2,12138.6,09-JAN-2020,1048725,65925,144.4,141.65,144.4,143.45,12000,11.45,11.8,11.45,11.5,178500,2197500
2020-01-07,09:24:00,12138.8,12139.5,12130.2,12130.3,09-JAN-2020,662700,36600,100.1,99.9,103.2,103.0,12050,20.3,21.7,20.2,21.7,119775,952350
2020-01-07,09:24:00,12138.8,12139.5,12130.2,12130.3,09-JAN-2020,1847625,268125,67.2,67.0,69.7,69.7,12100,36.75,38.6,36.75,38.6,203550,1490325
