date,time,open,high,low,close,expiry_date,open_interest_call,volume_call,close_call,low_call,high_call,open_call,strike_price,open_put,high_put,low_put,close_put,volume_put,open_interest_put
2020-01-20,09:15:00,12412.1,12418.7,12385.6,12388.05,23-JAN-2020,1936875,52353,49.0,49.0,65.4,64.95,12400,60.25,60.25,60.25,60.25,601,684300
2020-01-20,09:15:00,12412.1,12418.7,12385.6,12388.05,23-JAN-2020,894000,113552,71.15,70.0,102.0,95.4,12350,46.0,46.0,36.5,44.6,161778,1238400
2020-01-20,09:15:00,12412.1,12418.7,12385.6,12388.05,23-JAN-2020,840750,92401,103.1,100.95,126.85,126.85,12300,29.75,29.75,12.75,26.85,248778,1976700
2020-01-20,09:15:00,12412.1,12418.7,12385.6,12388.05,23-JAN-2020,46800,3601,142.4,140.0,150.45,150.0,12250,15.9,18.2,14.9,15.35,168752,611325
2020-01-20,09:15:00,12412.1,12418.7,12385.6,12388.05,23-JAN-2020,225150,10126,186.25,184.3,221.1,221.1,12200,14.95,14.95,8.95,9.35,141603,1089750
2020-01-20,09:16:00,12388.6,12388.6,12373.5,12381.05,23-JAN-2020,1936875,470625,45.4,41.0,47.9,47.9,12400,74.05,78.65,70.0,71.5,258900,684300
2020-01-20,09:16:00,12388.6,12388.6,12373.5,12381.05,23-JAN-2020,894000,115575,70.55,65.0,71.5,71.5,12350,45.35,51.65,45.35,46.3,218475,1238400
2020-01-20,09:16:00,12388.6,12388.6,12373.5,12381.05,23-JAN-2020,840750,87900,101.9,95.75,103.5,103.1,12300,27.4,32.2,27.4,28.6,286575,1976700
2020-01-20,09:16:00,12388.6,12388.6,12373.5,12381.05,23-JAN-2020,46800,2925,140.05,133.45,141.3,141.3,12250,15.5,18.95,15.5,16.6,108600,611325
2020-01-20,09:16:00,12388.6,12388.6,12373.5,12381.05,23-JAN-2020,225150,13200,184.35,174.9,185.0,185.0,12200,9.15,11.1,9.15,9.95,129300,1089750
2020-01-20,09:17:00,12381.2,12385.85,12370.9,12385.85,23-JAN-2020,2022450,305625,45.45,41.0,45.7,45.4,12400,71.4,76.2,70.2,71.0,112950,753825
2020-01-20,09:17:00,12381.2,12385.85,12370.9,12385.85,23-JAN-2020,913200,76200,70.9,65.0,71.3,70.45,12350,46.05,49.5,45.4,45.8,100200,1335825
2020-01-20,09:17:00,12381.2,12385.85,12370.9,12385.85,23-JAN-2020,840525,50775,103.1,95.7,103.1,102.35,12300,28.4,30.7,27.6,28.2,163050,2000700
2020-01-20,09:17:00,12381.2,12385.85,12370.9,12385.85,23-JAN-2020,48675,4500,140.75,133.35,141.0,140.65,12250,16.45,17.7,15.85,16.05,48900,616725
2020-01-20,09:17:00,12381.2,12385.85,12370.9,12385.85,23-JAN-2020,231825,6375,183.95,176.25,184.75,184.2,12200,9.85,10.5,9.35,9.6,75150,1117050
2020-01-20,09:18:00,12384.9,12395.95,12384.9,12395.95,23-JAN-2020,2022450,426300,47.05,45.2,47.9,45.55,12400,71.15,71.5,64.7,66.2,166125,753825
2020-01-20,09:18:00,12384.9,12395.95,12384.9,12395.95,23-JAN-2020,913200,127725,73.1,70.0,73.65,71.0,12350,46.0,46.1,40.7,42.2,171900,1335825
2020-01-20,09:18:00,12384.9,12395.95,12384.9,12395.95,23-JAN-2020,840525,101400,106.75,102.35,107.1,103.1,12300,28.2,28.35,24.5,25.55,298875,2000700
2020-01-20,09:18:00,12384.9,12395.95,12384.9,12395.95,23-JAN-2020,48675,4800,144.0,140.0,146.45,141.0,12250,16.15,16.25,13.9,14.65,136200,616725
2020-01-20,09:18:00,12384.9,12395.95,12384.9,12395.95,23-JAN-2020,231825,5700,190.0,184.3,191.0,184.3,12200,9.65,9.65,8.2,8.8,124800,1117050
2020-01-20,09:19:00,12395.9,12400.45,12389.05,12399.4,23-JAN-2020,2022450,306000,47.45,46.1,48.15,47.45,12400,65.6,68.0,64.1,65.0,138675,753825
2020-01-20,09:19:00,12395.9,12400.45,12389.05,12399.4,23-JAN-2020,913200,63450,73.9,71.3,74.65,73.4,12350,41.7,43.55,40.7,41.2,98925,1335825
2020-01-20,09:19:00,12395.9,12400.45,12389.05,12399.4,23-JAN-2020,840525,61200,108.0,104.25,108.7,107.35,12300,25.15,26.4,24.5,24.85,196125,2000700
2020-01-20,09:19:00,12395.9,12400.45,12389.05,12399.4,23-JAN-2020,48675,5325,147.05,142.85,147.8,145.75,12250,14.7,15.4,14.25,14.45,104250,616725
2020-01-20,09:19:00,12395.9,12400.45,12389.05,12399.4,23-JAN-2020,231825,4500,192.0,187.2,192.0,188.45,12200,8.75,9.25,8.5,8.65,96450,1117050
2020-01-20,09:20:00,12400.15,12400.15,12383.6,12384.1,23-JAN-2020,2125950,271275,45.65,45.5,48.9,47.0,12400,65.75,68.2,63.35,67.75,152775,847275
2020-01-20,09:20:00,12400.15,12400.15,12383.6,12384.1,23-JAN-2020,901875,111825,70.8,70.65,75.4,72.85,12350,41.85,43.8,40.3,43.8,144225,1425600
2020-01-20,09:20:00,12400.15,12400.15,12383.6,12384.1,23-JAN-2020,853350,58650,103.75,103.5,109.35,106.25,12300,24.95,26.6,24.15,26.2,213225,2120475
2020-01-20,09:20:00,12400.15,12400.15,12383.6,12384.1,23-JAN-2020,49950,7800,141.7,141.7,149.05,144.2,12250,14.5,15.35,13.95,15.05,68850,626400
2020-01-20,09:20:00,12400.15,12400.15,12383.6,12384.1,23-JAN-2020,234375,4125,186.3,186.3,194.1,189.2,12200,8.7,9.2,8.35,9.1,77325,1155525
2020-01-20,09:21:00,12385.65,12394.2,12385.65,12388.35,23-JAN-2020,2125950,202575,45.0,44.9,46.95,46.05,12400,67.1,68.0,65.45,67.85,99150,847275
2020-01-20,09:21:00,12385.65,12394.2,12385.65,12388.35,23-JAN-2020,901875,96900,70.45,70.2,73.2,71.85,12350,42.8,43.8,41.7,43.3,79275,1425600
2020-01-20,09:21:00,12385.65,12394.2,12385.65,12388.35,23-JAN-2020,853350,36000,103.5,103.5,106.6,104.2,12300,25.9,26.65,25.0,26.25,108300,2120475
2020-01-20,09:21:00,12385.65,12394.2,12385.65,12388.35,23-JAN-2020,49950,1500,143.8,141.8,145.3,143.45,12250,14.85,15.25,14.4,15.1,46500,626400
2020-01-20,09:21:00,12385.65,12394.2,12385.65,12388.35,23-JAN-2020,234375,3225,187.05,186.15,190.0,188.05,12200,8.9,9.15,8.65,9.05,34275,1155525
