date,time,open,high,low,close,expiry_date,open_interest_call,volume_call,close_call,low_call,high_call,open_call,strike_price,open_put,high_put,low_put,close_put,volume_put,open_interest_put
2020-01-01,09:15:00,12201.55,12216.25,12201.55,12215.45,02-JAN-2020,2403225,419477,40.15,35.55,43.15,35.6,12200,31.4,35.95,29.4,30.25,301053,1988250
2020-01-01,09:15:00,12201.55,12216.25,12201.55,12215.45,02-JAN-2020,480975,56927,73.15,61.85,77.3,68.0,12150,18.65,18.65,12.9,13.2,214502,1175925
2020-01-01,09:16:00,12214.55,12216.45,12205.7,12206.5,02-JAN-2020,2403225,261675,36.55,36.25,40.8,40.25,12200,29.9,34.1,29.0,33.75,223050,1988250
2020-01-01,09:16:00,12214.55,12216.45,12205.7,12206.5,02-JAN-2020,480975,33900,67.55,67.5,74.3,73.55,12150,13.25,15.2,12.6,15.15,151650,1175925
2020-01-01,09:17:00,12205.85,12207.4,12202.7,12203.55,02-JAN-2020,2540850,234675,35.65,35.65,36.95,36.2,12200,33.85,34.3,33.3,33.75,239700,2127075
2020-01-01,09:17:00,12205.85,12207.4,12202.7,12203.55,02-JAN-2020,482700,42075,66.8,66.75,68.55,67.55,12150,15.15,15.25,14.8,15.0,136950,1209900
2020-01-01,09:18:00,12202.15,12208.4,12201.2,12208.35,02-JAN-2020,2540850,257175,37.95,34.0,37.95,35.8,12200,33.9,35.3,31.75,32.0,274875,2127075
2020-01-01,09:18:00,12202.15,12208.4,12201.2,12208.35,02-JAN-2020,482700,48450,70.3,64.85,70.45,66.8,12150,14.9,15.95,14.1,14.1,152100,1209900
2020-01-01,09:19:00,12208.5,12213.2,12207.7,12211.3,02-JAN-2020,2540850,255375,39.55,37.8,40.8,37.9,12200,31.95,32.3,29.3,29.6,251550,2127075
2020-01-01,09:19:00,12208.5,12213.2,12207.7,12211.3,02-JAN-2020,482700,49950,72.8,69.6,74.55,70.35,12150,14.1,14.45,12.8,13.1,152775,1209900
2020-01-01,09:20:00,12211.85,12212.75,12210.0,12211.35,02-JAN-2020,2650350,153000,39.2,38.15,39.65,39.4,12200,29.85,30.65,29.35,29.35,262950,2244825
2020-01-01,09:20:00,12211.85,12212.75,12210.0,12211.35,02-JAN-2020,485850,29325,72.55,71.05,73.05,72.95,12150,13.25,13.35,12.9,13.05,97125,1273275
2020-01-01,09:21:00,12211.7,12212.0,12208.8,12210.05,02-JAN-2020,2650350,158925,38.05,37.3,39.05,38.95,12200,29.6,30.45,29.45,29.85,175425,2244825
2020-01-01,09:21:00,12211.7,12212.0,12208.8,12210.05,02-JAN-2020,485850,18750,70.9,70.05,72.45,72.0,12150,12.85,13.45,12.85,13.15,100950,1273275
2020-01-01,09:22:00,12210.65,12213.7,12209.85,12213.1,02-JAN-2020,2650350,145800,39.2,38.0,39.35,38.15,12200,29.65,29.95,28.8,28.8,177675,2244825
2020-01-01,09:22:00,12210.65,12213.7,12209.85,12213.1,02-JAN-2020,485850,30000,72.9,70.9,73.15,71.2,12150,13.05,13.3,12.65,12.65,110175,1273275
2020-01-01,09:23:00,12213.75,12218.2,12212.6,12218.2,02-JAN-2020,2760075,206700,41.6,39.05,41.6,39.2,12200,28.95,29.15,27.0,27.0,182175,2391525
2020-01-01,09:23:00,12213.75,12218.2,12212.6,12218.2,02-JAN-2020,494475,45975,76.65,72.75,76.65,73.25,12150,12.7,12.8,11.55,11.7,109950,1369725
2020-01-01,09:24:00,12218.6,12218.8,12214.35,12215.15,02-JAN-2020,2760075,254175,40.0,39.75,41.9,41.9,12200,26.85,28.0,26.6,27.9,204750,2391525
2020-01-01,09:24:00,12218.6,12218.8,12214.35,12215.15,02-JAN-2020,494475,58350,74.35,74.35,77.0,76.7,12150,11.35,12.25,11.35,12.25,114900,1369725
2020-01-01,09:25:00,12215.35,12215.7,12211.35,12213.8,02-JAN-2020,2760075,128400,39.8,38.6,40.3,40.25,12200,27.75,29.45,27.75,28.3,162225,2391525
2020-01-01,09:25:00,12215.35,12215.7,12211.35,12213.8,02-JAN-2020,494475,18750,74.4,72.05,74.7,74.55,12150,12.4,13.1,12.3,12.5,89175,1369725
2020-01-01,09:26:00,12213.65,12217.9,12213.65,12216.55,02-JAN-2020,2803500,105225,40.85,39.8,41.1,40.0,12200,28.45,28.65,27.65,28.0,95325,2459475
2020-01-01,09:26:00,12213.65,12217.9,12213.65,12216.55,02-JAN-2020,501300,20400,75.3,73.95,75.55,74.1,12150,12.55,12.6,12.05,12.35,39225,1397925
2020-01-01,09:27:00,12217.45,12218.25,12216.35,12217.55,02-JAN-2020,2803500,133800,39.55,39.4,41.0,40.8,12200,28.0,28.6,27.7,28.45,117600,2459475
2020-01-01,09:27:00,12217.45,12218.25,12216.35,12217.55,02-JAN-2020,501300,19500,73.55,73.55,75.7,75.5,12150,12.35,12.5,12.1,12.45,79275,1397925
2020-01-01,09:28:00,12216.8,12217.8,12215.85,12216.9,02-JAN-2020,2803500,99975,40.0,39.5,40.35,39.5,12200,28.4,28.55,27.85,27.95,84150,2459475
2020-01-01,09:28:00,12216.8,12217.8,12215.85,12216.9,02-JAN-2020,501300,23850,74.3,73.35,74.65,73.35,12150,12.5,12.5,12.05,12.05,66150,1397925
2020-01-01,09:29:00,12216.8,12222.2,12216.8,12221.65,02-JAN-2020,2854050,156825,41.8,39.95,41.8,40.05,12200,27.8,27.95,26.1,26.1,135000,2523975
2020-01-01,09:29:00,12216.8,12222.2,12216.8,12221.65,02-JAN-2020,519450,18600,76.85,74.25,76.9,74.5,12150,12.0,12.1,11.25,11.35,74475,1412925
2020-01-01,09:30:00,12221.35,12221.9,12218.6,12219.4,02-JAN-2020,2854050,178275,40.0,39.85,41.9,41.6,12200,26.35,27.0,25.85,26.75,188175,2523975
2020-01-01,09:30:00,12221.35,12221.9,12218.6,12219.4,02-JAN-2020,519450,21975,74.7,74.65,77.0,76.9,12150,11.25,11.65,11.05,11.5,108375,1412925
2020-01-01,09:31:00,12220.1,12220.7,12218.25,12218.9,02-JAN-2020,2854050,83775,40.1,39.6,40.5,40.1,12200,26.8,27.0,26.6,26.6,99300,2523975
2020-01-01,09:31:00,12220.1,12220.7,12218.25,12218.9,02-JAN-2020,519450,21075,74.85,73.95,75.25,74.7,12150,11.45,11.65,11.4,11.55,43800,1412925
2020-01-01,09:32:00,12219.1,12221.1,12218.75,12220.7,02-JAN-2020,2877300,90825,40.25,39.7,40.8,40.15,12200,26.85,27.0,26.45,26.6,88050,2658975
2020-01-01,09:32:00,12219.1,12221.1,12218.75,12220.7,02-JAN-2020,506175,11700,75.25,74.35,75.9,74.5,12150,11.55,11.7,11.45,11.55,34650,1448400
2020-01-01,09:33:00,12220.45,12220.9,12217.65,12218.65,02-JAN-2020,2877300,94650,38.55,38.55,40.35,40.25,12200,26.55,27.6,26.55,27.6,113250,2658975
2020-01-01,09:33:00,12220.45,12220.9,12217.65,12218.65,02-JAN-2020,506175,13275,72.9,72.9,75.5,75.25,12150,11.55,11.95,11.55,11.95,46275,1448400
2020-01-01,09:34:00,12217.9,12218.1,12212.8,12213.55,02-JAN-2020,2877300,134100,38.4,38.0,38.9,38.7,12200,27.75,28.65,27.5,28.65,174600,2658975
2020-01-01,09:34:00,12217.9,12218.1,12212.8,12213.55,02-JAN-2020,506175,22425,72.0,71.85,73.15,73.0,12150,12.0,12.45,12.0,12.4,70800,1448400
2020-01-01,09:35:00,12213.45,12213.85,12210.4,12210.45,02-JAN-2020,2901450,114900,37.0,37.0,38.7,38.4,12200,28.7,29.3,28.5,29.3,102825,2686275
2020-01-01,09:35:00,12213.45,12213.85,12210.4,12210.45,02-JAN-2020,508050,15375,70.2,70.2,72.6,72.35,12150,12.4,12.85,12.35,12.85,46350,1462275
2020-01-01,09:36:00,12210.4,12210.4,12205.5,12208.85,02-JAN-2020,2901450,173400,36.7,34.95,37.0,36.85,12200,29.3,30.85,29.3,29.9,245475,2686275
2020-01-01,09:36:00,12210.4,12210.4,12205.5,12208.85,02-JAN-2020,508050,25200,69.8,67.55,70.25,70.1,12150,12.75,13.5,12.65,12.9,146625,1462275
2020-01-01,09:37:00,12210.0,12210.0,12205.9,12207.55,02-JAN-2020,2901450,87750,37.3,36.35,37.3,37.0,12200,29.95,30.5,29.6,29.7,124725,2686275
2020-01-01,09:37:00,12210.0,12210.0,12205.9,12207.55,02-JAN-2020,508050,20400,70.0,69.0,70.0,69.95,12150,12.75,13.15,12.65,12.65,54975,1462275
2020-01-01,09:38:00,12208.2,12209.35,12207.1,12208.85,02-JAN-2020,2921400,77250,37.9,37.0,38.2,37.3,12200,29.7,29.8,28.75,29.2,93375,2654025
2020-01-01,09:38:00,12208.2,12209.35,12207.1,12208.85,02-JAN-2020,510600,12750,71.25,70.05,71.65,70.45,12150,12.7,12.75,12.25,12.45,53925,1494900
2020-01-01,09:39:00,12208.95,12209.0,12206.4,12208.2,02-JAN-2020,2921400,52200,37.65,36.7,37.9,37.75,12200,29.05,29.85,29.0,29.0,102450,2654025
2020-01-01,09:39:00,12208.95,12209.0,12206.4,12208.2,02-JAN-2020,510600,34050,70.8,69.2,71.0,71.0,12150,12.45,12.65,12.2,12.2,62850,1494900
2020-01-01,09:40:00,12208.0,12208.75,12207.4,12208.3,02-JAN-2020,2921400,57600,36.4,36.35,37.8,37.8,12200,28.9,30.0,28.75,29.9,50925,2654025
2020-01-01,09:40:00,12208.0,12208.75,12207.4,12208.3,02-JAN-2020,510600,18675,69.05,68.75,71.15,71.15,12150,12.1,12.7,12.0,12.55,33450,1494900
2020-01-01,09:41:00,12207.9,12207.9,12196.85,12201.75,02-JAN-2020,2950275,274575,33.35,31.75,36.4,36.4,12200,30.0,33.4,29.95,31.85,355200,2634300
