date,time,open,high,low,close,expiry_date,open_interest_call,volume_call,close_call,low_call,high_call,open_call,strike_price,open_put,high_put,low_put,close_put,volume_put,open_interest_put
2020-01-10,09:15:00,12262.45,12269.9,12250.9,12252.95,16-JAN-2020,474825,101927,74.0,67.15,85.0,67.15,12250,69.9,76.45,65.05,75.5,115353,184725
2020-01-10,09:15:00,12262.45,12269.9,12250.9,12252.95,16-JAN-2020,936750,331128,50.25,49.5,59.2,51.0,12300,104.75,104.75,88.7,102.6,123603,332850
2020-01-10,09:15:00,12262.45,12269.9,12250.9,12252.95,16-JAN-2020,1025625,123901,103.45,98.2,117.0,98.2,12200,49.85,55.55,45.55,55.25,270751,1279350
2020-01-10,09:16:00,12252.4,12258.5,12252.3,12258.5,16-JAN-2020,474825,127575,74.8,73.2,75.75,74.1,12250,75.8,75.8,71.0,71.0,106575,184725
2020-01-10,09:16:00,12252.4,12258.5,12252.3,12258.5,16-JAN-2020,936750,234450,51.45,49.7,52.2,50.7,12300,101.95,101.95,97.35,97.35,68475,332850
2020-01-10,09:16:00,12252.4,12258.5,12252.3,12258.5,16-JAN-2020,1025625,84600,104.45,103.05,106.15,104.0,12200,55.7,55.7,51.15,51.15,185475,1279350
2020-01-10,09:17:00,12258.25,12262.0,12257.45,12258.8,16-JAN-2020,485025,91050,76.9,74.65,78.55,74.75,12250,71.6,71.6,68.5,71.0,81075,275400
2020-01-10,09:17:00,12258.25,12262.0,12257.45,12258.8,16-JAN-2020,986175,207750,52.85,51.55,54.1,51.55,12300,97.8,97.8,94.5,97.6,71475,395100
2020-01-10,09:17:00,12258.25,12262.0,12257.45,12258.8,16-JAN-2020,1044150,93300,106.25,104.45,108.45,104.85,12200,51.05,51.05,49.0,51.0,182700,1409850
2020-01-10,09:18:00,12260.2,12265.7,12257.8,12258.4,16-JAN-2020,485025,86550,77.3,76.85,80.0,76.85,12250,71.1,71.55,68.55,70.05,66075,275400
2020-01-10,09:18:00,12260.2,12265.7,12257.8,12258.4,16-JAN-2020,986175,189975,53.5,53.05,55.8,53.05,12300,97.15,97.65,94.15,96.2,48075,395100
2020-01-10,09:18:00,12260.2,12265.7,12257.8,12258.4,16-JAN-2020,1044150,62400,107.7,106.8,110.6,107.0,12200,50.8,51.3,49.05,50.15,143475,1409850
2020-01-10,09:19:00,12259.05,12261.05,12253.9,12254.65,16-JAN-2020,485025,50625,75.8,74.65,78.0,77.45,12250,70.1,72.75,69.6,71.9,68175,275400
2020-01-10,09:19:00,12259.05,12261.05,12253.9,12254.65,16-JAN-2020,986175,154725,52.0,51.35,53.9,53.35,12300,95.8,99.7,95.45,98.6,59325,395100
2020-01-10,09:19:00,12259.05,12261.05,12253.9,12254.65,16-JAN-2020,1044150,56025,105.45,103.95,108.45,107.7,12200,50.2,52.35,49.85,51.5,133875,1409850
2020-01-10,09:20:00,12253.65,12256.6,12249.0,12250.4,16-JAN-2020,531600,50700,73.9,73.8,76.55,75.35,12250,72.3,73.1,71.1,72.5,60150,336525
2020-01-10,09:20:00,12253.65,12256.6,12249.0,12250.4,16-JAN-2020,1082175,134550,50.65,50.35,52.8,51.7,12300,99.0,100.25,97.5,99.75,45225,442875
2020-01-10,09:20:00,12253.65,12256.6,12249.0,12250.4,16-JAN-2020,1050825,47400,103.35,103.1,106.6,105.0,12200,51.95,52.55,50.85,52.25,107025,1492875
2020-01-10,09:21:00,12251.25,12252.7,12246.05,12246.9,16-JAN-2020,531600,84000,72.25,71.7,75.2,73.75,12250,72.65,74.35,71.6,74.1,86700,336525
2020-01-10,09:21:00,12251.25,12252.7,12246.05,12246.9,16-JAN-2020,1082175,161700,49.05,49.0,51.75,50.45,12300,99.75,101.35,98.35,101.05,59850,442875
2020-01-10,09:21:00,12251.25,12252.7,12246.05,12246.9,16-JAN-2020,1050825,51300,101.1,101.05,105.25,103.35,12200,52.25,53.5,51.5,53.4,148875,1492875
2020-01-10,09:22:00,12245.95,12248.65,12243.95,12243.95,16-JAN-2020,531600,72375,71.45,70.65,73.2,72.05,12250,74.25,75.45,73.5,75.0,88350,336525
2020-01-10,09:22:00,12245.95,12248.65,12243.95,12243.95,16-JAN-2020,1082175,158100,48.85,48.3,50.25,49.2,12300,101.4,102.85,100.25,102.2,68175,442875
2020-01-10,09:22:00,12245.95,12248.65,12243.95,12243.95,16-JAN-2020,1050825,60600,100.95,99.5,103.0,101.3,12200,53.35,54.45,52.95,54.05,153375,1492875
2020-01-10,09:23:00,12245.25,12252.0,12244.65,12251.4,16-JAN-2020,596775,52500,74.05,71.45,74.05,71.45,12250,75.0,75.0,72.0,72.05,49275,405975
2020-01-10,09:23:00,12245.25,12252.0,12244.65,12251.4,16-JAN-2020,1219950,107700,50.65,48.65,50.75,48.65,12300,102.25,102.25,98.6,98.6,30525,477750
2020-01-10,09:23:00,12245.25,12252.0,12244.65,12251.4,16-JAN-2020,1079475,29925,103.7,100.35,103.9,100.35,12200,54.05,54.1,51.9,51.95,104925,1544250
2020-01-10,09:24:00,12251.45,12254.65,12251.45,12252.4,16-JAN-2020,596775,58800,73.75,73.7,74.75,74.05,12250,72.1,72.6,70.65,72.4,50175,405975
2020-01-10,09:24:00,12251.45,12254.65,12251.45,12252.4,16-JAN-2020,1219950,105225,50.45,50.4,51.4,50.6,12300,98.5,99.65,96.75,99.65,27525,477750
2020-01-10,09:24:00,12251.45,12254.65,12251.45,12252.4,16-JAN-2020,1079475,42900,103.3,103.05,105.25,104.0,12200,51.95,52.4,51.0,52.25,90225,1544250
2020-01-10,09:25:00,12251.85,12251.85,12248.35,12249.5,16-JAN-2020,596775,44475,72.5,71.75,73.6,73.25,12250,72.9,74.7,72.65,74.2,21675,405975
2020-01-10,09:25:00,12251.85,12251.85,12248.35,12249.5,16-JAN-2020,1219950,74100,49.9,49.25,50.5,50.1,12300,99.9,102.0,99.5,101.65,24900,477750
2020-01-10,09:25:00,12251.85,12251.85,12248.35,12249.5,16-JAN-2020,1079475,27900,101.9,101.0,103.15,102.9,12200,52.5,53.9,52.5,53.75,60825,1544250
2020-01-10,09:26:00,12250.15,12251.2,12245.0,12245.35,16-JAN-2020,655575,38700,71.45,70.8,73.6,73.0,12250,74.0,76.0,73.4,75.45,49725,443250
2020-01-10,09:26:00,12250.15,12251.2,12245.0,12245.35,16-JAN-2020,1267575,102300,49.1,48.7,50.6,50.25,12300,101.1,103.65,100.35,102.75,42225,488475
2020-01-10,09:26:00,12250.15,12251.2,12245.0,12245.35,16-JAN-2020,1100400,33900,101.0,99.9,103.35,102.6,12200,53.35,55.0,52.95,54.8,103800,1600050
2020-01-10,09:27:00,12245.65,12246.5,12241.55,12246.25,16-JAN-2020,655575,52200,71.5,69.85,72.25,71.35,12250,75.85,77.3,74.7,75.05,37200,443250
2020-01-10,09:27:00,12245.65,12246.5,12241.55,12246.25,16-JAN-2020,1267575,90600,49.1,47.45,49.65,48.85,12300,103.55,105.1,101.85,102.6,31425,488475
2020-01-10,09:27:00,12245.65,12246.5,12241.55,12246.25,16-JAN-2020,1100400,39525,100.7,98.1,101.75,100.25,12200,55.0,56.0,53.7,54.35,106500,1600050
2020-01-10,09:28:00,12246.0,12253.3,12245.3,12250.6,16-JAN-2020,655575,51300,73.2,71.45,74.3,71.65,12250,75.3,75.65,71.9,73.55,38700,443250
2020-01-10,09:28:00,12246.0,12253.3,12245.3,12250.6,16-JAN-2020,1267575,97950,50.2,49.05,51.25,49.05,12300,103.05,103.05,98.45,100.65,45000,488475
2020-01-10,09:28:00,12246.0,12253.3,12245.3,12250.6,16-JAN-2020,1100400,42150,103.0,100.75,104.6,100.95,12200,54.5,54.75,52.0,53.35,77025,1600050
