date,time,open,high,low,close,expiry_date,open_interest_call,volume_call,close_call,low_call,high_call,open_call,strike_price,open_put,high_put,low_put,close_put,volume_put,open_interest_put
2020-01-09,09:15:00,12132.55,12177.0,12132.55,12171.1,09-JAN-2020,1487850,144753,30.0,26.05,39.95,39.95,12150,45.0,45.0,33.0,33.0,23401,289875
2020-01-09,09:15:00,12132.55,12177.0,12132.55,12171.1,09-JAN-2020,2954550,1462202,13.0,8.1,14.9,13.7,12200,100.0,125.0,60.0,60.0,199427,480675
2020-01-09,09:16:00,12171.3,12172.05,12159.0,12159.0,09-JAN-2020,1487850,1065825,26.7,26.7,33.55,31.15,12150,28.95,28.95,26.0,26.95,721650,289875
2020-01-09,09:16:00,12171.3,12172.05,12159.0,12159.0,09-JAN-2020,2954550,1404675,10.7,10.55,14.3,12.9,12200,61.5,61.5,57.35,61.0,272700,480675
2020-01-09,09:17:00,12158.7,12166.0,12157.3,12166.0,09-JAN-2020,1428450,659400,30.45,26.0,30.45,26.8,12150,26.95,27.55,24.85,24.85,462000,702450
2020-01-09,09:17:00,12158.7,12166.0,12157.3,12166.0,09-JAN-2020,3166275,807225,12.45,10.0,12.45,10.35,12200,60.9,61.9,56.8,57.25,219000,646200
2020-01-09,09:18:00,12165.65,12166.2,12158.5,12158.9,09-JAN-2020,1428450,757350,27.05,27.05,32.2,30.45,12150,24.25,25.85,23.0,25.8,636900,702450
2020-01-09,09:18:00,12165.65,12166.2,12158.5,12158.9,09-JAN-2020,3166275,902775,10.25,10.2,13.3,12.4,12200,56.65,59.25,54.05,59.1,197400,646200
2020-01-09,09:19:00,12158.8,12163.4,12157.55,12162.4,09-JAN-2020,1428450,457425,29.0,26.5,29.35,27.05,12150,25.8,26.1,23.85,24.1,408750,702450
2020-01-09,09:19:00,12158.8,12163.4,12157.55,12162.4,09-JAN-2020,3166275,821250,11.45,9.9,11.65,10.25,12200,59.0,59.8,56.2,56.65,143025,646200
2020-01-09,09:20:00,12163.05,12169.2,12162.75,12165.65,09-JAN-2020,1675050,528075,30.6,29.35,32.8,29.35,12150,23.6,23.6,20.0,20.45,475875,1341150
2020-01-09,09:20:00,12163.05,12169.2,12162.75,12165.65,09-JAN-2020,3405600,871275,11.9,11.5,13.15,11.7,12200,55.9,55.9,50.0,51.5,222450,806625
2020-01-09,09:21:00,12165.9,12169.5,12165.15,12166.9,09-JAN-2020,1675050,348825,31.0,30.2,33.0,30.6,12150,20.5,20.5,19.55,20.4,391800,1341150
2020-01-09,09:21:00,12165.9,12169.5,12165.15,12166.9,09-JAN-2020,3405600,480975,11.85,11.45,12.9,11.9,12200,51.8,52.0,49.65,51.15,136200,806625
2020-01-09,09:22:00,12165.2,12167.6,12160.6,12160.6,09-JAN-2020,1675050,381825,26.85,26.85,31.9,30.9,12150,20.4,21.6,19.4,21.6,488775,1341150
2020-01-09,09:22:00,12165.2,12167.6,12160.6,12160.6,09-JAN-2020,3405600,680775,9.4,9.4,12.15,11.85,12200,51.35,54.35,50.1,54.1,173250,806625
2020-01-09,09:23:00,12160.0,12162.9,12157.55,12158.95,09-JAN-2020,1696200,433800,26.75,26.1,29.3,26.75,12150,21.8,22.25,20.4,22.25,515250,1851600
2020-01-09,09:23:00,12160.0,12162.9,12157.55,12158.95,09-JAN-2020,3606375,747525,9.25,8.85,10.5,9.35,12200,54.65,55.15,51.65,55.05,159000,926700
2020-01-09,09:24:00,12158.7,12166.45,12158.55,12161.7,09-JAN-2020,1696200,278775,27.9,25.75,29.15,26.6,12150,22.4,22.4,20.2,21.1,297750,1851600
2020-01-09,09:24:00,12158.7,12166.45,12158.55,12161.7,09-JAN-2020,3606375,490425,9.7,9.0,10.45,9.25,12200,55.45,55.9,51.4,53.2,121950,926700
2020-01-09,09:25:00,12161.85,12163.9,12158.95,12159.8,09-JAN-2020,1696200,252525,28.1,27.5,29.1,28.0,12150,20.95,21.05,19.95,20.95,366675,1851600
2020-01-09,09:25:00,12161.85,12163.9,12158.95,12159.8,09-JAN-2020,3606375,453000,9.85,9.5,10.25,9.85,12200,52.95,53.2,51.3,52.9,97650,926700
2020-01-09,09:26:00,12159.45,12160.8,12158.4,12160.1,09-JAN-2020,1796325,227775,28.05,26.0,28.55,27.85,12150,21.0,21.85,20.5,20.7,321075,2139075
2020-01-09,09:26:00,12159.45,12160.8,12158.4,12160.1,09-JAN-2020,3764700,534450,9.8,8.95,10.1,9.75,12200,53.35,55.3,52.0,52.7,99000,992625
2020-01-09,09:27:00,12160.15,12162.9,12155.0,12162.2,09-JAN-2020,1796325,274950,28.15,25.4,28.4,28.0,12150,20.7,22.15,20.7,20.85,331725,2139075
2020-01-09,09:27:00,12160.15,12162.9,12155.0,12162.2,09-JAN-2020,3764700,485100,9.5,8.6,9.8,9.8,12200,52.75,55.3,52.05,52.5,119100,992625
2020-01-09,09:28:00,12162.05,12162.6,12159.05,12162.5,09-JAN-2020,1796325,279000,28.0,26.7,28.35,27.8,12150,20.9,22.5,20.55,20.65,300975,2139075
2020-01-09,09:28:00,12162.05,12162.6,12159.05,12162.5,09-JAN-2020,3764700,324600,9.3,8.85,9.65,9.45,12200,52.5,55.0,52.2,52.35,155850,992625
2020-01-09,09:29:00,12162.55,12162.85,12155.35,12161.2,09-JAN-2020,1895925,275250,28.05,26.25,28.3,28.05,12150,20.8,22.7,20.8,21.5,256050,2333175
2020-01-09,09:29:00,12162.55,12162.85,12155.35,12161.2,09-JAN-2020,3865050,431850,9.4,8.6,9.4,9.3,12200,52.15,55.2,52.1,52.85,135375,1004325
2020-01-09,09:30:00,12160.75,12161.55,12154.7,12155.2,09-JAN-2020,1895925,261375,25.9,25.05,28.5,28.2,12150,21.45,23.45,20.7,22.9,310725,2333175
2020-01-09,09:30:00,12160.75,12161.55,12154.7,12155.2,09-JAN-2020,3865050,363525,8.35,8.05,9.5,9.4,12200,52.85,56.55,52.05,55.55,118575,1004325
2020-01-09,09:31:00,12155.7,12158.15,12155.35,12157.65,09-JAN-2020,1895925,243975,27.0,25.5,27.2,25.85,12150,22.9,23.0,21.65,21.95,216375,2333175
2020-01-09,09:31:00,12155.7,12158.15,12155.35,12157.65,09-JAN-2020,3865050,292500,8.8,8.2,9.0,8.35,12200,55.75,55.9,53.4,53.4,62100,1004325
2020-01-09,09:32:00,12157.9,12158.55,12155.15,12156.65,09-JAN-2020,2022675,180675,26.4,25.9,27.55,26.95,12150,21.7,22.55,21.5,22.2,185400,2461050
2020-01-09,09:32:00,12157.9,12158.55,12155.15,12156.65,09-JAN-2020,3873750,256875,8.45,8.4,9.05,8.9,12200,53.75,55.2,52.75,54.1,81750,1018950
